country,cause,year,both_sexes_death_rate,male_death_rate,female_death_rate
Hungary, Chronic obstructive pulmonary disease,2016,10[ 4–16],11[ 5–19],8[ 4–14]
Iceland, Chronic obstructive pulmonary disease,2016,3[ 1–6],2[ 0–5],3[ 1–6]
India, Chronic obstructive pulmonary disease,2016,37[ 28–45],36[ 23–46],38[ 31–45]
Indonesia, Chronic obstructive pulmonary disease,2016,9[ 6–12],12[ 6–17],7[ 5–9]
Iran (Islamic Republic of), Chronic obstructive pulmonary disease,2016,3[ 2–5],4[ 2–6],3[ 2–4]
Iraq, Chronic obstructive pulmonary disease,2016,2[ 1–2],2[ 1–2],2[ 1–2]
Ireland, Chronic obstructive pulmonary disease,2016,4[ 1–8],4[ 1–8],4[ 1–8]
Israel, Chronic obstructive pulmonary disease,2016,4[ 2–6],4[ 2–7],4[ 2–6]
Italy, Chronic obstructive pulmonary disease,2016,8[ 4–14],9[ 4–16],7[ 3–12]
Jamaica, Chronic obstructive pulmonary disease,2016,4[ 2–6],5[ 2–9],2[ 1–3]
Japan, Chronic obstructive pulmonary disease,2016,6[ 2–11],8[ 3–14],5[ 2–9]
Jordan, Chronic obstructive pulmonary disease,2016,2[ 1–3],2[ 1–4],1[ 1–1]
Kazakhstan, Chronic obstructive pulmonary disease,2016,5[ 2–9],6[ 3–11],4[ 2–8]
Kenya, Chronic obstructive pulmonary disease,2016,3[ 2–3],3[ 1–4],3[ 2–3]
Kiribati, Chronic obstructive pulmonary disease,2016,9[ 5–11],12[ 5–17],5[ 4–6]
Kuwait, Chronic obstructive pulmonary disease,2016,2[ 1–2],2[ 1–3],2[ 1–2]
Kyrgyzstan, Chronic obstructive pulmonary disease,2016,7[ 4–11],8[ 4–13],7[ 4–10]
Lao People's Democratic Republic, Chronic obstructive pulmonary disease,2016,11[ 8–14],11[ 6–15],12[ 9–13]
Latvia, Chronic obstructive pulmonary disease,2016,3[ 1–5],5[ 2–8],1[ 1–2]
Lebanon, Chronic obstructive pulmonary disease,2016,4[ 2–6],4[ 2–6],4[ 2–6]
Lesotho, Chronic obstructive pulmonary disease,2016,18[ 13–23],20[ 11–28],16[ 13–19]
Liberia, Chronic obstructive pulmonary disease,2016,4[ 3–5],4[ 2–5],5[ 4–6]
Libya, Chronic obstructive pulmonary disease,2016,3[ 2–5],4[ 3–6],3[ 2–4]
Lithuania, Chronic obstructive pulmonary disease,2016,3[ 1–4],4[ 2–7],1[ 1–2]
Luxembourg, Chronic obstructive pulmonary disease,2016,4[ 1–8],4[ 1–8],4[ 1–8]
Madagascar, Chronic obstructive pulmonary disease,2016,8[ 6–10],8[ 4–11],8[ 6–9]
Malawi, Chronic obstructive pulmonary disease,2016,4[ 3–5],4[ 2–6],4[ 3–4]
Malaysia, Chronic obstructive pulmonary disease,2016,3[ 1–5],4[ 2–7],2[ 1–3]
Maldives, Chronic obstructive pulmonary disease,2016,3[ 1–6],2[ 1–5],4[ 1–8]
Mali, Chronic obstructive pulmonary disease,2016,10[ 8–12],11[ 6–14],10[ 8–11]
Malta, Chronic obstructive pulmonary disease,2016,5[ 2–8],6[ 3–11],3[ 1–5]
Mauritania, Chronic obstructive pulmonary disease,2016,5[ 4–6],4[ 3–6],6[ 4–7]
Mauritius, Chronic obstructive pulmonary disease,2016,9[ 4–18],11[ 5–21],8[ 4–16]
Mexico, Chronic obstructive pulmonary disease,2016,6[ 4–9],7[ 4–10],6[ 4–9]
Micronesia (Federated States of), Chronic obstructive pulmonary disease,2016,12[ 7–15],14[ 6–20],10[ 7–11]
Mongolia, Chronic obstructive pulmonary disease,2016,4[ 3–4],4[ 2–6],3[ 2–4]
Montenegro, Chronic obstructive pulmonary disease,2016,10[ 6–14],13[ 7–20],7[ 5–10]
Morocco, Chronic obstructive pulmonary disease,2016,3[ 2–5],4[ 2–6],3[ 2–4]
Mozambique, Chronic obstructive pulmonary disease,2016,4[ 3–4],4[ 2–5],3[ 3–4]
Myanmar, Chronic obstructive pulmonary disease,2016,24[ 17–30],30[ 17–40],18[ 15–21]
Namibia, Chronic obstructive pulmonary disease,2016,9[ 6–12],11[ 6–16],8[ 6–9]
Nepal, Chronic obstructive pulmonary disease,2016,31[ 25–36],27[ 18–34],34[ 28–39]
Netherlands, Chronic obstructive pulmonary disease,2016,7[ 3–12],7[ 3–13],7[ 3–12]
New Zealand, Chronic obstructive pulmonary disease,2016,2[ 0–5],2[ 0–5],2[ 0–5]
Nicaragua, Chronic obstructive pulmonary disease,2016,6[ 4–8],6[ 3–9],6[ 5–8]
Niger, Chronic obstructive pulmonary disease,2016,7[ 5–8],7[ 4–8],6[ 5–7]
Nigeria, Chronic obstructive pulmonary disease,2016,7[ 6–8],6[ 3–7],8[ 7–9]
Norway, Chronic obstructive pulmonary disease,2016,4[ 1–8],4[ 1–8],4[ 1–8]
Oman, Chronic obstructive pulmonary disease,2016,1[ 0–1],1[ 0–1],1[ 0–1]
Pakistan, Chronic obstructive pulmonary disease,2016,16[ 11–19],20[ 12–26],11[ 9–13]
Panama, Chronic obstructive pulmonary disease,2016,5[ 2–7],5[ 2–8],5[ 3–7]
Papua New Guinea, Chronic obstructive pulmonary disease,2016,10[ 7–13],11[ 5–16],9[ 7–10]
Paraguay, Chronic obstructive pulmonary disease,2016,5[ 3–7],6[ 3–10],4[ 3–5]
Peru, Chronic obstructive pulmonary disease,2016,6[ 4–7],6[ 3–8],6[ 4–7]
Philippines, Chronic obstructive pulmonary disease,2016,11[ 7–15],14[ 6–20],8[ 6–10]
Poland, Chronic obstructive pulmonary disease,2016,8[ 4–12],10[ 5–15],6[ 3–9]
Portugal, Chronic obstructive pulmonary disease,2016,4[ 1–8],5[ 1–9],3[ 1–6]
Qatar, Chronic obstructive pulmonary disease,2016,1[ 0–1],1[ 0–1],1[ 0–1]
Republic of Korea, Chronic obstructive pulmonary disease,2016,5[ 2–7],6[ 3–9],4[ 2–6]
Republic of Moldova, Chronic obstructive pulmonary disease,2016,5[ 2–8],6[ 3–11],4[ 2–6]
Romania, Chronic obstructive pulmonary disease,2016,9[ 4–17],12[ 5–23],7[ 3–12]
Russian Federation, Chronic obstructive pulmonary disease,2016,3[ 2–5],5[ 2–8],2[ 1–3]
Rwanda, Chronic obstructive pulmonary disease,2016,6[ 5–7],6[ 3–7],6[ 5–7]
Saint Lucia, Chronic obstructive pulmonary disease,2016,6[ 3–9],8[ 5–13],3[ 2–5]
Saint Vincent and the Grenadines, Chronic obstructive pulmonary disease,2016,3[ 2–5],5[ 3–8],2[ 1–3]
Samoa, Chronic obstructive pulmonary disease,2016,7[ 4–10],10[ 4–16],4[ 3–5]
Sao Tome and Principe, Chronic obstructive pulmonary disease,2016,14[ 10–18],14[ 7–19],15[ 11–18]
Saudi Arabia, Chronic obstructive pulmonary disease,2016,2[ 1–3],2[ 1–3],2[ 1–3]
Senegal, Chronic obstructive pulmonary disease,2016,6[ 5–8],7[ 4–9],6[ 5–7]
Serbia, Chronic obstructive pulmonary disease,2016,16[ 9–24],19[ 10–30],13[ 7–19]
Seychelles, Chronic obstructive pulmonary disease,2016,5[ 2–12],7[ 3–16],4[ 2–8]
Sierra Leone, Chronic obstructive pulmonary disease,2016,9[ 6–10],8[ 4–10],10[ 8–11]
Singapore, Chronic obstructive pulmonary disease,2016,2[ 1–3],3[ 1–5],1[ 0–1]
Slovakia, Chronic obstructive pulmonary disease,2016,4[ 2–7],5[ 2–9],3[ 1–5]
Slovenia, Chronic obstructive pulmonary disease,2016,5[ 3–9],6[ 3–10],5[ 2–8]
Solomon Islands, Chronic obstructive pulmonary disease,2016,10[ 6–12],13[ 6–18],6[ 5–7]
Somalia, Chronic obstructive pulmonary disease,2016,5[ 4–6],6[ 3–8],4[ 3–5]
South Africa, Chronic obstructive pulmonary disease,2016,9[ 6–13],11[ 7–16],7[ 5–10]
South Sudan, Chronic obstructive pulmonary disease,2016,6[ 4–7],6[ 3–7],5[ 4–6]
Spain, Chronic obstructive pulmonary disease,2016,6[ 2–12],8[ 3–15],4[ 1–8]
Sri Lanka, Chronic obstructive pulmonary disease,2016,12[ 8–16],14[ 6–20],11[ 8–13]
Sudan, Chronic obstructive pulmonary disease,2016,7[ 5–9],7[ 4–10],7[ 6–9]
Suriname, Chronic obstructive pulmonary disease,2016,3[ 2–5],4[ 2–5],3[ 2–4]
Sweden, Chronic obstructive pulmonary disease,2016,2[ 0–6],2[ 0–5],3[ 0–6]
Switzerland, Chronic obstructive pulmonary disease,2016,4[ 1–7],4[ 1–8],4[ 1–7]
Syrian Arab Republic, Chronic obstructive pulmonary disease,2016,2[ 1–3],2[ 1–3],2[ 1–3]
Tajikistan, Chronic obstructive pulmonary disease,2016,7[ 4–9],7[ 4–10],6[ 4–9]
Thailand, Chronic obstructive pulmonary disease,2016,14[ 9–20],18[ 10–28],11[ 7–14]
Republic of North Macedonia, Chronic obstructive pulmonary disease,2016,14[ 9–19],17[ 9–24],12[ 8–15]
Timor-Leste, Chronic obstructive pulmonary disease,2016,7[ 5–8],7[ 3–10],6[ 5–7]
Togo, Chronic obstructive pulmonary disease,2016,8[ 6–10],8[ 4–10],9[ 7–10]
Tonga, Chronic obstructive pulmonary disease,2016,9[ 5–13],12[ 5–19],6[ 4–8]
Trinidad and Tobago, Chronic obstructive pulmonary disease,2016,3[ 2–5],4[ 2–7],2[ 1–3]
Tunisia, Chronic obstructive pulmonary disease,2016,5[ 3–7],6[ 3–9],4[ 2–6]
Turkey, Chronic obstructive pulmonary disease,2016,9[ 5–13],12[ 7–18],6[ 3–9]
Turkmenistan, Chronic obstructive pulmonary disease,2016,1[ 1–2],1[ 1–2],1[ 1–2]
Uganda, Chronic obstructive pulmonary disease,2016,5[ 4–6],5[ 3–6],5[ 4–6]
Ukraine, Chronic obstructive pulmonary disease,2016,5[ 3–9],8[ 4–13],3[ 2–5]
United Arab Emirates, Chronic obstructive pulmonary disease,2016,1[ 1–2],2[ 1–2],1[ 0–1]
United Kingdom of Great Britain and Northern Ireland, Chronic obstructive pulmonary disease,2016,6[ 2–12],7[ 2–12],6[ 2–12]
United Republic of Tanzania, Chronic obstructive pulmonary disease,2016,5[ 3–6],5[ 3–6],5[ 4–5]
United States of America, Chronic obstructive pulmonary disease,2016,5[ 1–10],5[ 1–9],5[ 1–10]
Uruguay, Chronic obstructive pulmonary disease,2016,6[ 2–11],8[ 3–14],5[ 2–8]
Uzbekistan, Chronic obstructive pulmonary disease,2016,1[ 1–2],2[ 1–3],1[ 1–2]
Vanuatu, Chronic obstructive pulmonary disease,2016,10[ 6–13],14[ 6–19],7[ 5–8]
Venezuela (Bolivarian Republic of), Chronic obstructive pulmonary disease,2016,3[ 2–5],3[ 2–5],3[ 1–5]
Viet Nam, Chronic obstructive pulmonary disease,2016,10[ 7–13],11[ 6–16],9[ 6–11]
Yemen, Chronic obstructive pulmonary disease,2016,7[ 5–9],7[ 4–10],7[ 5–8]
Zambia, Chronic obstructive pulmonary disease,2016,4[ 3–5],4[ 2–5],4[ 3–5]
Zimbabwe, Chronic obstructive pulmonary disease,2016,6[ 4–7],6[ 3–8],6[ 5–7]
