country,cause,year,both_sexes_death_rate,male_death_rate,female_death_rate
Cabo Verde, Ischaemic heart disease,2016,27[ 20–37],25[ 19–34],28[ 21–40]
Cambodia, Ischaemic heart disease,2016,21[ 18–24],23[ 20–26],19[ 17–22]
Cameroon, Ischaemic heart disease,2016,21[ 18–24],23[ 20–26],19[ 16–21]
Canada, Ischaemic heart disease,2016,8[ 5–11],9[ 6–13],6[ 3–11]
Central African Republic, Ischaemic heart disease,2016,26[ 23–28],26[ 23–29],26[ 22–28]
Chad, Ischaemic heart disease,2016,24[ 22–27],26[ 23–29],22[ 20–25]
Chile, Ischaemic heart disease,2016,12[ 9–15],14[ 11–18],9[ 7–13]
China, Ischaemic heart disease,2016,40[ 30–52],38[ 29–49],43[ 32–56]
Colombia, Ischaemic heart disease,2016,17[ 13–21],20[ 16–25],14[ 10–18]
Comoros, Ischaemic heart disease,2016,22[ 20–25],24[ 21–27],20[ 18–23]
Congo, Ischaemic heart disease,2016,18[ 16–21],16[ 14–19],20[ 17–23]
Costa Rica, Ischaemic heart disease,2016,13[ 10–17],16[ 12–20],10[ 7–13]
Côte d'Ivoire, Ischaemic heart disease,2016,34[ 30–39],39[ 33–44],30[ 26–34]
Croatia, Ischaemic heart disease,2016,44[ 29–64],43[ 31–60],45[ 27–68]
Cuba, Ischaemic heart disease,2016,34[ 20–63],37[ 23–66],32[ 18–60]
Cyprus, Ischaemic heart disease,2016,17[ 12–22],21[ 16–26],13[ 8–18]
Czechia, Ischaemic heart disease,2016,38[ 25–52],39[ 29–52],36[ 22–53]
Democratic People's Republic of Korea, Ischaemic heart disease,2016,49[ 41–56],53[ 44–62],45[ 36–54]
Democratic Republic of the Congo, Ischaemic heart disease,2016,15[ 14–17],15[ 13–17],16[ 14–18]
Denmark, Ischaemic heart disease,2016,10[ 6–13],11[ 8–15],8[ 5–12]
Djibouti, Ischaemic heart disease,2016,28[ 24–31],32[ 28–36],24[ 21–27]
Dominican Republic, Ischaemic heart disease,2016,21[ 17–26],24[ 19–30],19[ 14–23]
Ecuador, Ischaemic heart disease,2016,8[ 6–11],9[ 7–12],7[ 5–9]
Egypt, Ischaemic heart disease,2016,42[ 35–53],46[ 39–58],38[ 32–49]
El Salvador, Ischaemic heart disease,2016,22[ 16–28],24[ 18–30],19[ 14–25]
Equatorial Guinea, Ischaemic heart disease,2016,20[ 15–25],20[ 15–25],20[ 14–25]
Eritrea, Ischaemic heart disease,2016,20[ 17–23],23[ 19–26],18[ 15–20]
Estonia, Ischaemic heart disease,2016,43[ 24–72],39[ 24–62],47[ 24–83]
Eswatini, Ischaemic heart disease,2016,15[ 12–18],12[ 10–15],17[ 14–20]
Ethiopia, Ischaemic heart disease,2016,19[ 17–22],21[ 19–24],18[ 15–20]
Fiji, Ischaemic heart disease,2016,51[ 36–63],69[ 49–84],33[ 23–41]
Finland, Ischaemic heart disease,2016,12[ 6–20],14[ 8–21],11[ 4–20]
France, Ischaemic heart disease,2016,10[ 6–14],11[ 7–15],9[ 5–14]
Gabon, Ischaemic heart disease,2016,13[ 9–17],11[ 9–15],14[ 10–19]
Gambia, Ischaemic heart disease,2016,25[ 22–28],28[ 25–31],22[ 19–25]
Georgia, Ischaemic heart disease,2016,107[ 76–144],114[ 85–150],100[ 66–140]
Germany, Ischaemic heart disease,2016,25[ 16–34],25[ 18–33],24[ 13–36]
Ghana, Ischaemic heart disease,2016,25[ 21–28],18[ 16–21],31[ 27–35]
Greece, Ischaemic heart disease,2016,29[ 18–53],32[ 22–55],26[ 14–50]
Grenada, Ischaemic heart disease,2016,19[ 15–24],20[ 16–25],19[ 14–24]
Guatemala, Ischaemic heart disease,2016,14[ 12–17],15[ 12–17],14[ 11–17]
Guinea, Ischaemic heart disease,2016,27[ 24–30],26[ 23–29],28[ 24–31]
Guinea-Bissau, Ischaemic heart disease,2016,24[ 21–27],22[ 20–25],25[ 22–28]
Guyana, Ischaemic heart disease,2016,37[ 29–45],41[ 33–49],33[ 26–41]
Haiti, Ischaemic heart disease,2016,47[ 42–52],49[ 43–54],46[ 40–51]
Honduras, Ischaemic heart disease,2016,22[ 18–26],27[ 22–32],17[ 13–20]
Hungary, Ischaemic heart disease,2016,52[ 36–68],52[ 39–65],52[ 33–72]
Iceland, Ischaemic heart disease,2016,10[ 5–15],12[ 7–17],8[ 3–13]
India, Ischaemic heart disease,2016,49[ 41–57],60[ 51–70],38[ 31–44]
Indonesia, Ischaemic heart disease,2016,35[ 28–43],35[ 27–42],36[ 28–43]
Iran (Islamic Republic of), Ischaemic heart disease,2016,21[ 17–26],24[ 19–30],18[ 14–23]
Iraq, Ischaemic heart disease,2016,19[ 16–23],20[ 17–23],18[ 14–22]
Ireland, Ischaemic heart disease,2016,10[ 6–14],12[ 8–16],8[ 4–12]
Israel, Ischaemic heart disease,2016,8[ 6–11],9[ 7–12],7[ 4–10]
Italy, Ischaemic heart disease,2016,22[ 14–30],22[ 15–29],22[ 12–32]
Jamaica, Ischaemic heart disease,2016,11[ 8–15],11[ 8–15],11[ 7–15]
Japan, Ischaemic heart disease,2016,12[ 8–17],13[ 9–17],12[ 7–18]
Jordan, Ischaemic heart disease,2016,15[ 12–18],19[ 16–23],11[ 9–14]
Kazakhstan, Ischaemic heart disease,2016,35[ 24–50],38[ 28–53],33[ 21–47]
Kenya, Ischaemic heart disease,2016,6[ 5–7],6[ 5–7],6[ 5–7]
Kiribati, Ischaemic heart disease,2016,26[ 23–29],31[ 27–35],21[ 18–23]
Kuwait, Ischaemic heart disease,2016,20[ 18–23],28[ 24–32],10[ 9–12]
Kyrgyzstan, Ischaemic heart disease,2016,43[ 30–59],46[ 34–61],41[ 27–57]
Lao People's Democratic Republic, Ischaemic heart disease,2016,38[ 33–42],34[ 30–39],41[ 35–45]
Latvia, Ischaemic heart disease,2016,59[ 40–82],59[ 43–78],60[ 36–87]
Lebanon, Ischaemic heart disease,2016,38[ 30–46],48[ 39–58],28[ 21–35]
Lesotho, Ischaemic heart disease,2016,23[ 19–27],18[ 15–21],27[ 23–32]
Liberia, Ischaemic heart disease,2016,20[ 18–23],20[ 18–23],21[ 18–23]
Libya, Ischaemic heart disease,2016,26[ 22–30],31[ 26–35],21[ 17–25]
Lithuania, Ischaemic heart disease,2016,58[ 38–79],58[ 42–74],57[ 33–84]
Luxembourg, Ischaemic heart disease,2016,11[ 7–15],12[ 8–15],9[ 5–14]
Madagascar, Ischaemic heart disease,2016,15[ 13–17],17[ 15–19],13[ 11–15]
Malawi, Ischaemic heart disease,2016,11[ 10–13],11[ 10–13],11[ 9–13]
Malaysia, Ischaemic heart disease,2016,17[ 13–24],20[ 15–28],14[ 10–20]
Maldives, Ischaemic heart disease,2016,8[ 6–13],10[ 7–15],6[ 4–10]
Mali, Ischaemic heart disease,2016,24[ 21–27],20[ 17–22],28[ 24–31]
Malta, Ischaemic heart disease,2016,24[ 17–32],25[ 19–33],23[ 14–32]
Mauritania, Ischaemic heart disease,2016,22[ 19–26],21[ 18–25],24[ 20–28]
Mauritius, Ischaemic heart disease,2016,23[ 16–36],26[ 19–42],19[ 13–31]
Mexico, Ischaemic heart disease,2016,15[ 12–19],17[ 14–21],13[ 10–17]
Micronesia (Federated States of), Ischaemic heart disease,2016,34[ 29–39],36[ 30–41],33[ 27–38]
Mongolia, Ischaemic heart disease,2016,46[ 39–54],56[ 47–65],37[ 30–44]
Montenegro, Ischaemic heart disease,2016,59[ 41–78],67[ 48–87],51[ 34–70]
Morocco, Ischaemic heart disease,2016,23[ 17–29],23[ 18–29],22[ 16–29]
Mozambique, Ischaemic heart disease,2016,11[ 9–12],10[ 8–11],12[ 10–13]
Myanmar, Ischaemic heart disease,2016,24[ 20–27],24[ 20–27],23[ 20–27]
Namibia, Ischaemic heart disease,2016,18[ 15–22],17[ 14–20],19[ 16–23]
Nepal, Ischaemic heart disease,2016,49[ 43–56],62[ 54–71],37[ 33–42]
Netherlands, Ischaemic heart disease,2016,12[ 8–16],13[ 9–16],11[ 6–16]
New Zealand, Ischaemic heart disease,2016,7[ 4–12],9[ 5–13],6[ 3–11]
Nicaragua, Ischaemic heart disease,2016,20[ 16–24],20[ 17–24],20[ 16–24]
Niger, Ischaemic heart disease,2016,23[ 21–26],24[ 21–26],22[ 20–25]
Nigeria, Ischaemic heart disease,2016,26[ 23–29],25[ 22–28],27[ 24–31]
Norway, Ischaemic heart disease,2016,9[ 5–13],9[ 6–13],8[ 4–14]
Oman, Ischaemic heart disease,2016,15[ 12–22],15[ 13–23],13[ 10–20]
Pakistan, Ischaemic heart disease,2016,48[ 41–56],57[ 48–66],38[ 32–45]
Panama, Ischaemic heart disease,2016,10[ 7–13],12[ 9–16],8[ 6–11]
Papua New Guinea, Ischaemic heart disease,2016,31[ 26–35],36[ 31–42],26[ 22–29]
Paraguay, Ischaemic heart disease,2016,19[ 15–23],21[ 17–25],17[ 13–21]
Peru, Ischaemic heart disease,2016,16[ 13–19],18[ 14–22],14[ 11–17]
Philippines, Ischaemic heart disease,2016,39[ 31–46],46[ 37–54],33[ 26–39]
Poland, Ischaemic heart disease,2016,43[ 31–56],45[ 34–54],42[ 27–58]
Portugal, Ischaemic heart disease,2016,10[ 6–14],10[ 7–14],9[ 5–15]
Qatar, Ischaemic heart disease,2016,9[ 7–10],10[ 8–11],6[ 5–7]
Republic of Korea, Ischaemic heart disease,2016,8[ 6–11],9[ 7–12],8[ 5–11]
Republic of Moldova, Ischaemic heart disease,2016,69[ 48–99],68[ 49–95],70[ 47–104]
Romania, Ischaemic heart disease,2016,66[ 43–107],67[ 46–105],65[ 39–108]
Russian Federation, Ischaemic heart disease,2016,53[ 39–69],57[ 44–70],51[ 34–69]
Rwanda, Ischaemic heart disease,2016,11[ 10–12],11[ 10–12],11[ 9–13]
Saint Lucia, Ischaemic heart disease,2016,13[ 10–16],14[ 11–16],12[ 9–16]
Saint Vincent and the Grenadines, Ischaemic heart disease,2016,22[ 16–29],23[ 17–29],22[ 16–29]
Samoa, Ischaemic heart disease,2016,26[ 21–31],31[ 25–38],20[ 15–25]
Sao Tome and Principe, Ischaemic heart disease,2016,14[ 10–17],12[ 9–15],15[ 12–19]
Saudi Arabia, Ischaemic heart disease,2016,21[ 18–30],25[ 21–34],17[ 13–23]
Senegal, Ischaemic heart disease,2016,21[ 17–24],20[ 17–24],21[ 17–25]
Serbia, Ischaemic heart disease,2016,52[ 34–72],55[ 38–74],49[ 31–70]
Seychelles, Ischaemic heart disease,2016,23[ 16–43],29[ 21–53],17[ 11–34]
Sierra Leone, Ischaemic heart disease,2016,36[ 32–40],35[ 31–39],36[ 32–40]
Singapore, Ischaemic heart disease,2016,12[ 9–15],16[ 12–18],9[ 6–11]
Slovakia, Ischaemic heart disease,2016,34[ 24–46],35[ 26–45],33[ 21–47]
Slovenia, Ischaemic heart disease,2016,26[ 16–36],23[ 17–31],28[ 16–42]
Solomon Islands, Ischaemic heart disease,2016,23[ 20–26],28[ 24–31],18[ 16–21]
Somalia, Ischaemic heart disease,2016,21[ 19–24],22[ 20–24],21[ 19–23]
South Africa, Ischaemic heart disease,2016,16[ 13–20],18[ 15–22],15[ 12–18]
South Sudan, Ischaemic heart disease,2016,18[ 16–20],18[ 16–20],18[ 16–20]
Spain, Ischaemic heart disease,2016,11[ 7–16],12[ 8–16],10[ 5–16]
Sri Lanka, Ischaemic heart disease,2016,45[ 36–53],53[ 43–63],37[ 29–44]
Sudan, Ischaemic heart disease,2016,50[ 44–57],55[ 48–62],46[ 40–52]
Suriname, Ischaemic heart disease,2016,22[ 18–26],27[ 22–33],17[ 13–21]
Sweden, Ischaemic heart disease,2016,11[ 5–18],12[ 7–17],10[ 4–18]
Switzerland, Ischaemic heart disease,2016,13[ 8–20],14[ 9–19],13[ 7–20]
Syrian Arab Republic, Ischaemic heart disease,2016,31[ 26–37],34[ 28–40],28[ 23–34]
Tajikistan, Ischaemic heart disease,2016,33[ 25–43],36[ 28–46],30[ 23–39]
Thailand, Ischaemic heart disease,2016,21[ 16–27],24[ 18–30],18[ 13–24]
Republic of North Macedonia, Ischaemic heart disease,2016,48[ 37–59],54[ 43–66],42[ 32–52]
Timor-Leste, Ischaemic heart disease,2016,20[ 18–23],20[ 18–23],20[ 17–23]
Togo, Ischaemic heart disease,2016,29[ 26–33],31[ 27–34],28[ 24–31]
Tonga, Ischaemic heart disease,2016,20[ 15–26],27[ 20–34],14[ 10–18]
Trinidad and Tobago, Ischaemic heart disease,2016,25[ 20–30],29[ 23–34],22[ 16–27]
Tunisia, Ischaemic heart disease,2016,33[ 26–40],38[ 31–46],28[ 21–34]
Turkey, Ischaemic heart disease,2016,22[ 17–26],26[ 22–30],18[ 13–22]
Turkmenistan, Ischaemic heart disease,2016,34[ 27–41],38[ 31–45],29[ 22–36]
Uganda, Ischaemic heart disease,2016,11[ 10–12],11[ 10–12],11[ 10–13]
Ukraine, Ischaemic heart disease,2016,101[ 74–131],101[ 78–125],102[ 70–137]
United Arab Emirates, Ischaemic heart disease,2016,10[ 8–12],11[ 10–14],5[ 4–6]
United Kingdom of Great Britain and Northern Ireland, Ischaemic heart disease,2016,12[ 8–16],15[ 10–19],9[ 6–14]
United Republic of Tanzania, Ischaemic heart disease,2016,17[ 15–20],17[ 15–20],18[ 15–20]
United States of America, Ischaemic heart disease,2016,13[ 9–18],16[ 11–21],11[ 7–16]
Uruguay, Ischaemic heart disease,2016,13[ 8–17],14[ 10–18],11[ 7–17]
Uzbekistan, Ischaemic heart disease,2016,39[ 30–49],43[ 34–54],34[ 26–45]
Vanuatu, Ischaemic heart disease,2016,31[ 27–35],36[ 31–41],25[ 21–29]
Venezuela (Bolivarian Republic of), Ischaemic heart disease,2016,16[ 12–19],20[ 15–24],12[ 8–15]
Viet Nam, Ischaemic heart disease,2016,18[ 14–22],20[ 16–24],16[ 12–21]
Yemen, Ischaemic heart disease,2016,43[ 36–50],47[ 39–55],39[ 33–46]
Zambia, Ischaemic heart disease,2016,12[ 11–14],12[ 11–13],12[ 11–14]
Zimbabwe, Ischaemic heart disease,2016,13[ 11–14],9[ 8–10],16[ 13–18]
