country,cause,year,both_sexes_death_rate,male_death_rate,female_death_rate
Djibouti, Lower respiratory infections,2016,46[ 38–52],48[ 40–55],44[ 37–49]
Dominican Republic, Lower respiratory infections,2016,5[ 3–7],5[ 3–8],5[ 3–7]
Ecuador, Lower respiratory infections,2016,6[ 3–10],6[ 3–10],6[ 3–10]
Egypt, Lower respiratory infections,2016,10[ 7–12],11[ 9–15],8[ 6–10]
El Salvador, Lower respiratory infections,2016,11[ 7–15],12[ 8–17],9[ 6–13]
Equatorial Guinea, Lower respiratory infections,2016,59[ 43–73],59[ 43–72],60[ 44–74]
Eritrea, Lower respiratory infections,2016,47[ 39–53],52[ 43–60],42[ 34–47]
Estonia, Lower respiratory infections,2016,3[ 1–6],3[ 1–8],2[ 0–4]
Eswatini, Lower respiratory infections,2016,33[ 26–40],35[ 28–43],31[ 25–37]
Ethiopia, Lower respiratory infections,2016,43[ 36–48],47[ 40–53],39[ 33–43]
Fiji, Lower respiratory infections,2016,12[ 8–15],13[ 9–17],11[ 7–14]
Finland, Lower respiratory infections,2016,0[ 0–1],0[ 0–1],0[ 0–1]
France, Lower respiratory infections,2016,3[ 1–6],3[ 1–5],3[ 1–6]
Gabon, Lower respiratory infections,2016,24[ 17–33],24[ 17–34],23[ 17–33]
Gambia, Lower respiratory infections,2016,52[ 44–58],58[ 49–65],46[ 39–52]
Georgia, Lower respiratory infections,2016,5[ 3–7],6[ 4–8],4[ 3–6]
Germany, Lower respiratory infections,2016,3[ 1–6],3[ 1–6],3[ 1–6]
Ghana, Lower respiratory infections,2016,48[ 40–55],57[ 47–66],39[ 33–44]
Greece, Lower respiratory infections,2016,11[ 5–27],10[ 4–22],13[ 6–31]
Grenada, Lower respiratory infections,2016,12[ 7–17],9[ 5–13],14[ 9–21]
Guatemala, Lower respiratory infections,2016,23[ 18–26],23[ 19–28],22[ 18–25]
Guinea, Lower respiratory infections,2016,71[ 61–80],76[ 64–86],67[ 57–75]
Guinea-Bissau, Lower respiratory infections,2016,61[ 52–68],66[ 55–74],57[ 48–63]
Guyana, Lower respiratory infections,2016,13[ 9–16],13[ 9–17],13[ 9–16]
Haiti, Lower respiratory infections,2016,39[ 33–44],43[ 36–49],35[ 30–39]
Honduras, Lower respiratory infections,2016,4[ 3–5],5[ 4–7],3[ 3–4]
Hungary, Lower respiratory infections,2016,2[ 1–3],2[ 1–3],2[ 1–3]
Iceland, Lower respiratory infections,2016,1[ 0–3],1[ 0–2],1[ 0–3]
India, Lower respiratory infections,2016,30[ 24–35],25[ 20–30],35[ 28–41]
Indonesia, Lower respiratory infections,2016,8[ 6–10],9[ 6–11],8[ 6–10]
Iran (Islamic Republic of), Lower respiratory infections,2016,4[ 3–5],4[ 3–5],3[ 2–4]
Iraq, Lower respiratory infections,2016,7[ 6–9],9[ 7–12],5[ 4–7]
Ireland, Lower respiratory infections,2016,2[ 0–4],2[ 0–4],2[ 0–5]
Israel, Lower respiratory infections,2016,5[ 3–8],5[ 3–8],5[ 3–8]
Italy, Lower respiratory infections,2016,4[ 2–6],3[ 2–5],4[ 2–6]
Jamaica, Lower respiratory infections,2016,4[ 2–6],4[ 2–6],4[ 2–6]
Japan, Lower respiratory infections,2016,12[ 4–23],13[ 4–24],11[ 4–22]
Jordan, Lower respiratory infections,2016,3[ 2–5],4[ 3–5],3[ 2–4]
Kazakhstan, Lower respiratory infections,2016,3[ 1–5],3[ 1–6],2[ 1–3]
Kenya, Lower respiratory infections,2016,25[ 21–29],26[ 22–30],24[ 21–28]
Kiribati, Lower respiratory infections,2016,26[ 22–30],26[ 22–30],26[ 22–30]
Kuwait, Lower respiratory infections,2016,9[ 7–11],9[ 7–11],9[ 7–11]
Kyrgyzstan, Lower respiratory infections,2016,5[ 3–8],6[ 4–9],5[ 3–7]
Lao People's Democratic Republic, Lower respiratory infections,2016,30[ 25–33],29[ 24–33],30[ 26–34]
Latvia, Lower respiratory infections,2016,4[ 2–6],5[ 2–8],3[ 1–5]
Lebanon, Lower respiratory infections,2016,2[ 2–3],2[ 2–3],3[ 2–4]
Lesotho, Lower respiratory infections,2016,48[ 39–57],49[ 40–58],48[ 39–56]
Liberia, Lower respiratory infections,2016,45[ 39–51],44[ 38–50],46[ 40–52]
Libya, Lower respiratory infections,2016,5[ 4–6],6[ 4–7],5[ 4–6]
Lithuania, Lower respiratory infections,2016,3[ 1–5],3[ 1–6],2[ 1–4]
Luxembourg, Lower respiratory infections,2016,2[ 1–4],2[ 0–3],2[ 1–4]
Madagascar, Lower respiratory infections,2016,35[ 30–40],36[ 31–41],35[ 29–39]
Malawi, Lower respiratory infections,2016,31[ 26–35],34[ 28–38],29[ 25–32]
Malaysia, Lower respiratory infections,2016,8[ 4–16],8[ 4–16],8[ 4–16]
Maldives, Lower respiratory infections,2016,1[ 0–2],1[ 0–1],1[ 0–2]
Mali, Lower respiratory infections,2016,55[ 47–61],54[ 46–60],56[ 47–62]
Malta, Lower respiratory infections,2016,5[ 2–10],5[ 2–8],6[ 2–11]
Mauritania, Lower respiratory infections,2016,48[ 39–57],54[ 44–65],41[ 33–49]
Mauritius, Lower respiratory infections,2016,4[ 2–8],4[ 2–8],3[ 1–7]
Mexico, Lower respiratory infections,2016,5[ 4–7],6[ 4–8],5[ 4–6]
Micronesia (Federated States of), Lower respiratory infections,2016,19[ 16–22],19[ 15–22],20[ 16–23]
Mongolia, Lower respiratory infections,2016,7[ 5–8],8[ 7–10],5[ 4–6]
Montenegro, Lower respiratory infections,2016,4[ 2–5],4[ 3–5],3[ 2–4]
Morocco, Lower respiratory infections,2016,6[ 4–8],6[ 4–8],6[ 4–8]
Mozambique, Lower respiratory infections,2016,38[ 32–43],39[ 33–44],37[ 32–42]
Myanmar, Lower respiratory infections,2016,24[ 20–28],25[ 21–29],23[ 20–27]
Namibia, Lower respiratory infections,2016,33[ 26–40],35[ 27–42],32[ 25–38]
Nepal, Lower respiratory infections,2016,23[ 19–26],23[ 19–26],24[ 20–27]
Netherlands, Lower respiratory infections,2016,3[ 1–6],3[ 1–6],3[ 1–6]
New Zealand, Lower respiratory infections,2016,1[ 0–2],1[ 0–2],1[ 0–3]
Nicaragua, Lower respiratory infections,2016,8[ 6–10],9[ 7–11],7[ 6–8]
Niger, Lower respiratory infections,2016,92[ 78–103],95[ 81–107],89[ 76–99]
Nigeria, Lower respiratory infections,2016,108[ 91–120],110[ 92–123],106[ 90–118]
Norway, Lower respiratory infections,2016,2[ 0–5],2[ 0–5],2[ 0–6]
Oman, Lower respiratory infections,2016,3[ 2–5],3[ 2–5],4[ 2–6]
Pakistan, Lower respiratory infections,2016,27[ 22–31],28[ 22–32],26[ 21–30]
Panama, Lower respiratory infections,2016,5[ 3–7],5[ 3–8],5[ 3–7]
Papua New Guinea, Lower respiratory infections,2016,28[ 23–32],31[ 25–36],24[ 20–28]
Paraguay, Lower respiratory infections,2016,8[ 6–10],8[ 6–11],8[ 6–10]
Peru, Lower respiratory infections,2016,28[ 21–35],29[ 21–36],27[ 21–34]
Philippines, Lower respiratory infections,2016,37[ 28–45],37[ 28–45],37[ 28–45]
Poland, Lower respiratory infections,2016,8[ 4–12],8[ 5–13],7[ 4–11]
Portugal, Lower respiratory infections,2016,5[ 1–12],5[ 1–13],5[ 1–12]
Qatar, Lower respiratory infections,2016,1[ 1–1],1[ 1–1],1[ 1–1]
Republic of Korea, Lower respiratory infections,2016,9[ 5–14],8[ 5–13],9[ 5–14]
Republic of Moldova, Lower respiratory infections,2016,6[ 3–10],9[ 4–15],3[ 2–6]
Romania, Lower respiratory infections,2016,9[ 4–17],10[ 4–20],7[ 3–14]
Russian Federation, Lower respiratory infections,2016,3[ 2–6],5[ 2–8],2[ 1–3]
Rwanda, Lower respiratory infections,2016,32[ 27–35],33[ 28–37],30[ 26–34]
Saint Lucia, Lower respiratory infections,2016,6[ 4–9],6[ 4–9],6[ 4–9]
Saint Vincent and the Grenadines, Lower respiratory infections,2016,9[ 5–14],9[ 5–14],9[ 5–14]
Samoa, Lower respiratory infections,2016,13[ 10–16],13[ 10–16],13[ 10–15]
Sao Tome and Principe, Lower respiratory infections,2016,35[ 27–41],36[ 27–42],35[ 27–40]
Saudi Arabia, Lower respiratory infections,2016,8[ 6–11],8[ 6–11],8[ 6–12]
Senegal, Lower respiratory infections,2016,35[ 28–41],37[ 30–43],33[ 27–39]
Serbia, Lower respiratory infections,2016,6[ 3–8],7[ 4–9],5[ 3–8]
Seychelles, Lower respiratory infections,2016,16[ 7–37],20[ 9–44],13[ 6–30]
Sierra Leone, Lower respiratory infections,2016,79[ 67–89],81[ 68–92],77[ 66–86]
Singapore, Lower respiratory infections,2016,18[ 9–28],18[ 9–28],18[ 9–29]
Slovakia, Lower respiratory infections,2016,6[ 3–11],7[ 3–12],6[ 3–10]
Slovenia, Lower respiratory infections,2016,7[ 4–12],6[ 3–10],9[ 4–14]
Solomon Islands, Lower respiratory infections,2016,17[ 14–19],17[ 14–20],16[ 13–18]
Somalia, Lower respiratory infections,2016,110[ 94–123],115[ 98–129],104[ 89–117]
South Africa, Lower respiratory infections,2016,22[ 16–28],25[ 18–32],19[ 14–24]
South Sudan, Lower respiratory infections,2016,70[ 60–79],72[ 61–81],69[ 58–76]
Spain, Lower respiratory infections,2016,2[ 1–5],2[ 1–5],2[ 1–5]
Sri Lanka, Lower respiratory infections,2016,12[ 10–15],14[ 12–17],11[ 9–12]
Sudan, Lower respiratory infections,2016,29[ 24–33],26[ 21–30],32[ 26–36]
Suriname, Lower respiratory infections,2016,9[ 6–12],10[ 7–13],8[ 5–10]
Sweden, Lower respiratory infections,2016,1[ 0–3],1[ 0–3],1[ 0–3]
Switzerland, Lower respiratory infections,2016,2[ 1–4],2[ 1–4],2[ 1–5]
Syrian Arab Republic, Lower respiratory infections,2016,3[ 2–4],3[ 3–4],3[ 2–4]
Tajikistan, Lower respiratory infections,2016,15[ 11–20],16[ 11–21],15[ 10–19]
Thailand, Lower respiratory infections,2016,26[ 18–34],27[ 19–36],24[ 17–32]
Republic of North Macedonia, Lower respiratory infections,2016,3[ 2–4],3[ 2–4],3[ 2–3]
Timor-Leste, Lower respiratory infections,2016,30[ 26–34],29[ 25–33],31[ 26–36]
Togo, Lower respiratory infections,2016,58[ 49–65],64[ 54–72],53[ 45–59]
Tonga, Lower respiratory infections,2016,12[ 8–15],12[ 8–15],12[ 8–15]
Trinidad and Tobago, Lower respiratory infections,2016,5[ 3–7],5[ 3–7],5[ 3–7]
Tunisia, Lower respiratory infections,2016,7[ 5–9],7[ 5–9],7[ 5–9]
Turkey, Lower respiratory infections,2016,3[ 2–4],4[ 3–4],2[ 2–3]
Turkmenistan, Lower respiratory infections,2016,5[ 3–8],6[ 3–9],4[ 2–6]
Uganda, Lower respiratory infections,2016,47[ 40–52],48[ 40–53],46[ 39–51]
Ukraine, Lower respiratory infections,2016,3[ 1–4],4[ 2–5],1[ 1–2]
United Arab Emirates, Lower respiratory infections,2016,1[ 1–2],1[ 1–2],1[ 1–1]
United Kingdom of Great Britain and Northern Ireland, Lower respiratory infections,2016,6[ 2–11],5[ 1–10],6[ 2–13]
United Republic of Tanzania, Lower respiratory infections,2016,43[ 37–48],44[ 37–49],42[ 36–47]
United States of America, Lower respiratory infections,2016,1[ 0–3],1[ 0–3],1[ 0–3]
Uruguay, Lower respiratory infections,2016,4[ 1–8],4[ 1–7],5[ 2–9]
Uzbekistan, Lower respiratory infections,2016,4[ 3–6],5[ 3–7],4[ 3–6]
Vanuatu, Lower respiratory infections,2016,15[ 13–17],17[ 14–19],14[ 12–16]
Venezuela (Bolivarian Republic of), Lower respiratory infections,2016,4[ 2–6],4[ 2–6],4[ 2–6]
Viet Nam, Lower respiratory infections,2016,8[ 6–10],9[ 7–11],7[ 5–9]
Yemen, Lower respiratory infections,2016,23[ 18–27],21[ 17–25],25[ 20–30]
Zambia, Lower respiratory infections,2016,39[ 33–44],40[ 34–46],38[ 32–42]
Zimbabwe, Lower respiratory infections,2016,39[ 32–45],40[ 33–46],38[ 32–44]
